Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
love tester,17,17,110000,65,0.02,https://www.calculator.net/love-calculator.html,330,0,6.00,0.04,3150000000,"[54,54,82,82,100,30,20,24,54,82,45,45]",2026-04-16,"Knowledge panel, Video, Image, Related searches",informational,Organic
14 days from today,17,0,110000,16,0.00,https://www.calculator.net/date-calculator.html,330,0,0.00,0,4680000000,"[100,82,100,100,100,100,100,100,100,100,100,100]",2026-04-21,"Video, Related searches",informational,Organic
high yield savings account calculator,11,11,33100,44,2.60,https://www.calculator.net/savings-calculator.html,297,0,772.00,0.7,105000000,"[36,30,36,30,30,30,30,30,24,24,30,24]",2026-04-21,"Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
convert forex,12,12,33100,79,0.23,https://www.calculator.net/currency-calculator.html,297,0,68.00,0,98,"[0,24,81,81,81,100,0,2,54,16,100,0]",2026-04-15,Related searches,informational,Organic
annuity calculator,11,11,33100,53,2.30,https://www.calculator.net/annuity-payout-calculator.html,297,0,683.00,0.63,12700000,"[81,66,66,66,54,54,66,44,81,66,54,44]",2026-04-19,"Video, Ads bottom, Related searches",commercial,Organic
pregnancy due date calculator,11,11,22200,66,0.20,https://www.calculator.net/pregnancy-calculator.html,288,0,57.00,0.21,199000000,"[100,67,67,67,81,54,67,67,67,67,81,67]",2026-04-19,"Sitelinks, Image, Related searches",informational,Organic
gpa california,11,11,27100,49,4.00,https://www.calculator.net/gpa-calculator.html,243,0,972.00,0,24000000,"[0,20,81,54,81,100,0,0,0,0,13,100]",2026-04-16,"Video, Related searches, AI overview",informational,Organic
bench calculator,11,11,18100,33,0.01,https://www.calculator.net/one-rep-max-calculator.html,235,0,2.00,0.03,109000000,"[81,81,100,81,81,66,66,66,66,66,66,66]",2026-04-15,"Video, Related searches",informational,Organic
pick a number from 1 10,11,11,18100,43,0.00,https://www.calculator.net/random-number-generator.html,235,0,0.00,0,2310000000,"[81,81,100,100,100,100,81,81,81,81,100,0]",2026-04-18,"Sitelinks, Video, Related searches",informational,Organic
5 days from today,11,11,18100,28,0.00,https://www.calculator.net/day-counter.html,235,0,0.00,0,6880000000,"[81,81,81,81,100,81,81,100,100,100,100,100]",2026-04-15,"Video, Related searches",informational,Organic
factoring calculator,13,13,33100,56,0.04,https://www.calculator.net/factor-calculator.html,231,0,9.00,0,525000000,"[20,20,16,13,10,3,2,6,13,10,9,6]",2026-04-17,"Video, Related searches",informational,Organic
discount calculator,14,14,40500,41,0.01,https://www.calculator.net/percent-off-calculator.html,202,0,2.00,0.01,569000000,"[54,54,54,54,54,44,54,44,44,44,44,44]",2026-04-18,"Video, Related searches",informational,Organic
triangle,13,13,135000,99,1.53,https://www.calculator.net/triangle-calculator.html,202,0,309.00,0.02,1160000000,"[81,100,100,100,81,44,54,54,54,100,66,66]",2026-04-16,"Instant answer, Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
height chart,11,11,22200,74,0.66,https://www.calculator.net/height-calculator.html,199,0,131.00,0.2,1750000000,"[30,30,30,30,30,30,30,30,30,30,30,24]",2026-04-15,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
college gpa calculator,12,12,49500,44,0.00,https://www.calculator.net/grade-calculator.html,198,0,0.00,0,61900000,"[20,7,9,36,20,4,4,4,4,24,16,36]",2026-04-17,"Video, People also ask, Related searches",informational,Organic
home equity loan calculator,15,15,49500,63,4.83,https://www.calculator.net/payment-calculator.html,198,0,956.00,0.65,197000000,"[81,66,81,81,81,81,100,100,81,81,66,54]",2026-04-19,"Sitelinks, Ads bottom, Related searches",commercial,Organic
days counter,11,11,14800,65,0.19,https://www.calculator.net/date-calculator.html,192,0,36.00,0,114,"[100,66,54,66,44,44,36,36,81,54,29,36]",2026-04-20,"Video, Related searches",informational,Organic
bra size bra,11,11,27100,55,0.54,https://www.calculator.net/bra-size-calculator.html,189,0,102.00,0.31,578000000,"[0,66,100,66,0,81,0,0,20,16,0,0]",2026-04-20,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
pick a number 1 or 2,13,13,27100,81,0.00,https://www.calculator.net/random-number-generator.html,189,0,0.00,0,2220000000,"[81,66,54,66,66,54,66,66,54,66,44,66]",2026-04-19,"Video, Related searches",informational,Organic
conception calculator,18,18,60500,52,0.47,https://www.calculator.net/conception-calculator.html,181,0,85.00,0.07,97600000,"[81,81,81,66,66,66,66,54,54,54,54,54]",2026-04-16,"Sitelinks, Video, Image, Related searches",informational,Organic
body fat calculator,16,16,60500,56,0.44,https://www.calculator.net/fitness-and-health-calculator.html,181,0,79.00,0.06,294000000,"[100,81,100,100,100,81,81,81,66,66,66,54]",2026-04-19,"Image pack, Video, Related searches",informational,Organic
z score table,13,13,33100,40,0.00,https://www.calculator.net/z-score-calculator.html,165,0,0.00,0,114,"[13,30,44,36,20,8,10,8,30,44,30,16]",2026-04-16,"Image pack, Video, Image, Related searches",informational,Organic
a area of a circle,12,12,33100,50,0.00,https://www.calculator.net/circle-calculator.html,165,0,0.00,0,2790000000,"[0,8,0,0,0,36,24,44,36,36,66,0]",2026-04-20,"Instant answer, Video, Related searches, AI overview",informational,Organic
fha loan,16,16,110000,76,4.22,https://www.calculator.net/fha-loan-calculator.html,165,0,696.00,0.72,26300000,"[44,54,67,54,54,44,44,54,44,44,36,36]",2026-04-16,"Video, Ads bottom, Video Carousel, FAQ, Related searches, Ads middle, AI overview",informational,Organic
compounding interest calculator,15,15,40500,59,0.33,https://www.calculator.net/interest-calculator.html,162,0,53.00,0.09,130000000,"[100,81,66,54,66,66,81,81,81,81,66,66]",2026-04-18,"Ads top, Related searches",commercial,Organic
time with seconds,12,12,90500,100,0.01,https://www.calculator.net/time-calculator.html,162,0,1.00,0,4670000000,"[55,67,82,100,67,30,36,67,100,100,100,100]",2026-04-16,"Sitelinks, Video, Related searches",navigational,Organic
time converter,16,16,40500,88,0.00,https://www.calculator.net/time-duration-calculator.html,162,0,0.00,0,113,"[81,54,66,54,54,44,44,54,54,54,54,44]",2026-04-17,"Video, Related searches",informational,Organic
how long does it take,11,11,18100,26,0.00,https://www.calculator.net/time-duration-calculator.html,162,0,0.00,0,10540000000,"[66,66,66,66,81,54,66,81,54,66,81,66]",2026-04-18,"Sitelinks, Video, Related searches, AI overview",informational,Organic
six months from today,12,12,18100,22,0.00,https://www.calculator.net/date-calculator.html,162,0,0.00,0,1620000000,"[29,24,29,29,20,13,20,36,54,44,54,66]",2026-04-20,"Video, Related searches",informational,Organic
tax calculator 2024,11,11,18100,73,0.86,https://www.calculator.net/tax-calculator.html,162,0,139.00,0.14,577000000,"[45,24,13,9,1,0,0,0,0,0,0,0]",2026-04-19,"Video, Ads bottom, Related searches",commercial,Organic
what time will it be in 8 hours,11,8,12100,14,0.00,https://www.calculator.net/hours-calculator.html,157,0,0.00,0,5440000000,"[66,81,100,66,81,81,81,81,66,81,81,81]",2026-04-21,"Video, Related searches",informational,Organic
add calculator time,11,11,12100,57,0.00,https://www.calculator.net/time-duration-calculator.html,157,0,0.00,0,600000000,"[54,54,66,66,66,54,54,54,54,81,100,81]",2026-04-16,"Video, Related searches",informational,Organic
usd to eur exchange rate today,12,12,22200,76,0.00,https://www.calculator.net/currency-calculator.html,155,0,0.00,0.01,157000000,"[0,0,0,4,8,0,0,1,100,36,0,0]",2026-04-18,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
simplify calculator,13,13,22200,37,0.40,https://www.calculator.net/fraction-calculator.html,155,0,62.00,0.02,74400000,"[20,20,16,13,9,4,2,9,16,11,7,7]",2026-04-16,"Video, Related searches",informational,Organic
what week of the year is it,12,12,49500,67,0.00,https://www.calculator.net/day-of-the-week-calculator.html,148,0,0.00,0,4420000000,"[24,36,66,66,81,81,81,100,100,81,66,44]",2026-04-18,"Video, People also ask, Related searches, AI overview",informational,Organic
time clock,18,18,49500,74,1.82,https://www.calculator.net/time-calculator.html,148,0,269.00,0.37,1650000000,"[45,36,45,45,36,30,24,24,55,55,67,55]",2026-04-18,"Video, Ads bottom, Related searches",commercial,Organic
simple interest calculator,14,14,27100,68,1.38,https://www.calculator.net/interest-calculator.html,135,0,186.00,0.02,413000000,"[36,36,36,36,30,36,54,66,36,30,24,20]",2026-04-19,"Video, Related searches",commercial,Organic
bench press calculator,15,15,27100,27,0.01,https://www.calculator.net/one-rep-max-calculator.html,135,0,1.00,0.04,24000000,"[81,81,81,66,66,66,66,66,66,66,66,66]",2026-04-18,"Video, Related searches",informational,Organic
hourly to salary,14,14,27100,50,0.17,https://www.calculator.net/salary-calculator.html,135,0,22.00,0.01,646000000,"[81,81,100,81,66,81,66,66,66,54,44,44]",2026-04-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
ratio calculator,15,15,27100,46,1.04,https://www.calculator.net/percent-calculator.html,135,0,140.00,0,692000000,"[81,66,66,66,54,44,44,44,44,54,54,44]",2026-04-15,"Video, Related searches",informational,Organic
what is 30 days from today,12,12,27100,39,0.00,https://www.calculator.net/date-calculator.html,135,0,0.00,0,7380000000,"[100,100,81,81,81,67,81,81,67,81,67,81]",2026-04-17,"Video, Related searches, AI overview",informational,Organic
calculator kalori,15,15,27100,95,0.99,https://www.calculator.net/fitness-and-health-calculator.html,135,0,133.00,0.08,496000,"[0,0,2,81,81,100,0,0,24,16,81,36]",2026-04-17,"Video, Related searches",informational,Organic
area of a cylinder,11,11,14800,58,0.00,https://www.calculator.net/volume-calculator.html,133,0,0.00,0,611000000,"[36,66,54,66,29,29,20,20,36,36,44,24]",2026-04-20,"Instant answer, Video, Related searches",informational,Organic
standardized z score table,11,11,14800,48,0.00,https://www.calculator.net/z-score-calculator.html,133,0,0.00,0,225000000,"[0,100,44,81,66,0,0,2,0,0,0,0]",2026-04-20,"Image pack, Video, Image, Related searches",informational,Organic
figure out student loan payments,11,11,9900,72,5.19,https://www.calculator.net/student-loan-calculator.html,128,0,664.00,0.01,241000000,"[0,1,8,100,67,36,0,3,29,44,54,54]",2026-04-17,"Video, Related searches",informational,Organic
hours,11,11,49500,59,1.89,https://www.calculator.net/hours-calculator.html,128,0,241.00,0.01,8130000000,"[54,66,54,44,54,29,54,66,54,44,100,66]",2026-04-16,"Knowledge panel, Sitelinks, Video, Related searches","informational, navigational",Organic
business day calculator,13,13,18100,58,0.00,https://www.calculator.net/day-counter.html,126,0,0.00,0,67,"[81,81,81,100,81,81,100,81,66,66,66,66]",2026-04-16,Related searches,informational,Organic
how to find area of a circle,12,12,18100,51,0.50,https://www.calculator.net/circle-calculator.html,126,0,63.00,0,2480000000,"[44,44,81,81,81,29,13,24,24,36,36,44]",2026-04-15,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
volume of a rectangular prism,12,12,18100,50,0.74,https://www.calculator.net/volume-calculator.html,126,0,93.00,0,148,"[10,13,20,30,24,8,3,7,13,10,10,7]",2026-04-17,"Instant answer, Video, Related searches",informational,Organic
bra sizes,13,13,40500,50,0.54,https://www.calculator.net/bra-size-calculator.html,121,0,65.00,0.31,109000000,"[66,81,81,66,66,81,66,54,44,66,54,44]",2026-04-17,"Image pack, Sitelinks, Video, Image, Related searches, Things to know",informational,Organic
simple mortgage calculator,17,17,40500,65,0.44,https://www.calculator.net/mortgage-calculator.html,121,0,53.00,0.43,107,"[44,44,81,54,66,44,54,54,54,30,54,30]",2026-04-18,"Sitelinks, Video, Related searches",commercial,Organic
15 days from today,19,19,40500,29,0.00,https://www.calculator.net/date-calculator.html,121,0,0.00,0,6290000000,"[81,81,100,100,100,100,100,100,100,100,100,100]",2026-04-17,"Video, Related searches",informational,Organic
what is my time zone,14,14,40500,85,0.00,https://www.calculator.net/time-zone-calculator.html,121,0,0.00,0,1380000000,"[100,66,81,81,66,81,100,66,81,81,81,81]",2026-04-16,"Video, People also ask, Related searches",informational,Organic
currency and converter,17,17,40500,86,0.23,https://www.calculator.net/currency-calculator.html,121,0,27.00,0,445000000,"[45,82,100,0,0,0,0,0,0,0,0,0]",2026-04-20,"Instant answer, Video, Related searches",informational,Organic
payment calculator home equity line,14,14,22200,64,4.24,https://www.calculator.net/home-equity-loan-calculator.html,111,0,470.00,0.23,259000000,"[66,66,81,81,44,20,0,3,36,44,54,100]",2026-04-20,"Sitelinks, Related searches",commercial,Organic
money converter,18,18,74000,87,0.11,https://www.calculator.net/currency-calculator.html,111,0,12.00,0.02,1090000000,"[100,67,82,82,82,67,67,67,55,55,55,55]",2026-04-17,"Instant answer, Video, People also ask, Related searches",informational,Organic
normal bmi,13,13,22200,79,0.28,https://www.calculator.net/bmi-calculator.html,111,0,31.00,0.08,102,"[81,81,81,67,67,67,67,54,54,67,54,54]",2026-04-18,"Image pack, Video, Related searches, AI overview",informational,Organic
car loans,14,14,74000,88,5.29,https://www.calculator.net/auto-loan-calculator.html,111,0,587.00,0.59,327000000,"[66,66,100,66,100,81,100,100,54,54,54,54]",2026-04-20,"Local pack, Video, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
what is the date today,18,16,74000,61,0.61,https://www.calculator.net/date-calculator.html,111,0,67.00,0.01,7940000000,"[67,55,67,67,67,45,45,67,100,67,55,45]",2026-04-21,"Video, People also ask, Related searches",informational,Organic
square root of 3,13,13,22200,40,0.52,https://www.calculator.net/root-calculator.html,111,0,57.00,0,393000000,"[44,54,66,81,66,29,24,54,66,54,54,36]",2026-04-20,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
pick a number between 1 and 2,12,12,12100,66,0.00,https://www.calculator.net/random-number-generator.html,108,0,0.00,0,1600000000,"[36,66,100,81,100,66,81,54,66,66,81,66]",2026-04-19,"Sitelinks, Video, Related searches",informational,Organic
current inflation rate,16,16,27100,100,1.41,https://www.calculator.net/inflation-calculator.html,108,0,152.00,0.02,125,"[66,66,81,81,66,54,66,66,66,54,66,66]",2026-04-18,"Video, Featured snippet, Related searches",informational,Organic
business days calculator,12,12,12100,54,0.00,https://www.calculator.net/day-counter.html,108,0,0.00,0,74,"[100,44,44,44,44,54,44,29,54,44,66,54]",2026-04-20,Related searches,informational,Organic
calorie count application,11,11,12100,76,2.15,https://www.calculator.net/calorie-calculator.html,108,0,232.00,0.42,114000000,"[36,54,81,54,100,81,81,36,29,0,0,0]",2026-04-16,"Video, Related searches, AI overview",informational,Organic
payment calculator auto,11,11,8100,77,0.25,https://www.calculator.net/amortization-calculator.html,105,0,26.00,0.44,591000000,"[36,66,29,36,54,44,36,44,24,54,44,36]",2026-04-18,"Sitelinks, Related searches",informational,Organic
age difference calculator,11,11,8100,25,0.00,https://www.calculator.net/age-calculator.html,105,0,0.00,0,563000000,"[100,100,100,100,81,81,81,66,81,54,66,54]",2026-04-18,"Sitelinks, Video, Related searches",informational,Organic
15000 japanese yen in us dollars,12,12,14800,31,0.03,https://www.calculator.net/currency-calculator.html,103,0,3.00,0,1740000,"[0,66,100,81,44,44,0,5,36,54,81,81]",2026-04-19,"Instant answer, Related searches",informational,Organic
tax calculator tax calculator tax calculator,17,17,33100,77,0.82,https://www.calculator.net/tax-calculator.html,99,0,81.00,0.15,588000000,"[0,16,100,66,66,81,0,0,24,0,0,54]",2026-04-19,"Video, Related searches",commercial,Organic
loan amortization calculator,17,17,33100,70,2.12,https://www.calculator.net/mortgage-amortization-calculator.html,99,0,209.00,0.05,58200000,"[81,66,66,81,66,81,81,66,66,81,66,66]",2026-04-19,"Knowledge panel, Video, Related searches",informational,Organic
mortgage,13,13,135000,100,6.16,https://www.calculator.net/mortgage-calculator.html,94,0,579.00,0.26,416000000,"[45,67,54,54,54,54,67,54,67,67,67,82]",2026-04-17,"Local pack, Top stories, Sitelinks, Video, Related searches, Things to know, AI overview",informational,Organic
distance between two places,15,15,18100,72,0.13,https://www.calculator.net/mileage-calculator.html,90,0,11.00,0,772000000,"[44,66,44,66,36,44,36,66,66,100,81,81]",2026-04-15,"Video, Related searches",informational,Organic
pace,17,17,60500,84,2.15,https://www.calculator.net/pace-calculator.html,90,0,193.00,0.03,529000000,"[66,66,81,81,66,54,54,66,66,66,66,66]",2026-04-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
add timing,15,15,18100,49,0.00,https://www.calculator.net/time-duration-calculator.html,90,0,0.00,0,636000000,"[100,36,36,44,44,36,36,36,36,36,24,29]",2026-04-18,"Video, Related searches",informational,Organic
quadratic equation solver,11,11,9900,63,1.13,https://www.calculator.net/quadratic-formula-calculator.html,89,0,100.00,0.01,123,"[54,81,54,54,36,16,13,24,81,66,44,44]",2026-04-16,"Instant answer, Video, Related searches",informational,Organic
how many days until june 10,11,11,9900,24,0.00,https://www.calculator.net/day-counter.html,89,0,0.00,0,1410000000,"[4,8,20,36,100,8,0,1,2,1,2,3]",2026-04-19,"Instant answer, Video, Related searches",informational,Organic
paycalcutor,12,12,9900,90,5.33,https://www.calculator.net/take-home-pay-calculator.html,89,0,474.00,0.03,699000000,"[0,0,0,0,0,0,0,0,0,16,100,30]",2026-04-15,"Video, Ads bottom, Related searches","commercial, informational",Organic
how to compute body mass,11,11,9900,76,0.18,https://www.calculator.net/bmi-calculator.html,89,0,16.00,0.34,822000000,"[0,100,44,29,20,0,0,0,13,1,0,0]",2026-04-20,"Sitelinks, Video, Related searches, AI overview",informational,Organic
how far along am i,16,16,22200,63,0.00,https://www.calculator.net/pregnancy-calculator.html,88,0,0.00,0,1700000000,"[44,36,44,44,44,36,44,36,36,36,36,36]",2026-04-15,"Sitelinks, Video, Related searches",informational,Organic
12x4,14,14,22200,17,0.00,https://www.calculator.net/square-footage-calculator.html,88,0,0.00,0,2210000,"[81,100,81,81,81,24,19,44,67,67,67,54]",2026-04-18,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
random number generator 1-3,11,11,6600,66,0.00,https://www.calculator.net/random-number-generator.html,85,0,0.00,0,11200000,"[100,81,23,66,36,66,44,0,0,100,81,100]",2026-04-18,"Sitelinks, Video, Related searches",informational,Organic
time and seconds,11,9,6600,99,0.01,https://www.calculator.net/time-calculator.html,85,0,0.00,0,116,"[44,19,44,54,19,36,36,54,54,29,19,13]",2026-04-21,"Video, Related searches","informational, transactional",Organic
30 days after today,11,11,6600,43,0.00,https://www.calculator.net/date-calculator.html,85,0,0.00,0,86,"[54,66,16,44,24,19,24,13,24,54,16,24]",2026-04-18,"Video, Related searches",informational,Organic
grams in a pound calculator,12,12,12100,56,0.06,https://www.calculator.net/weight-calculator.html,84,0,5.00,0.01,116,"[2,100,100,81,81,44,0,0,36,66,0,0]",2026-04-17,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
8 times 6,12,12,12100,32,0.00,https://www.calculator.net/fraction-calculator.html,84,0,0.00,0,15110000000,"[24,29,54,100,54,29,16,36,81,81,66,54]",2026-04-18,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
breast size chart,11,11,12100,50,0.53,https://www.calculator.net/bra-size-calculator.html,84,0,44.00,0.03,458000000,"[66,29,16,16,20,20,20,44,44,44,36,36]",2026-04-17,"Video, Image, Related searches, AI overview",informational,Organic
convert valuta,13,13,12100,83,0.23,https://www.calculator.net/currency-calculator.html,84,0,19.00,0,2020000,"[0,0,0,0,55,100,0,0,0,0,0,0]",2026-04-16,"Video, Related searches",informational,Organic
how many days until june 1,12,12,12100,21,0.00,https://www.calculator.net/day-counter.html,84,0,0.00,0,1670000000,"[16,24,36,44,81,4,1,2,3,4,5,5]",2026-04-15,"Instant answer, Video, Related searches",informational,Organic
calculate my paycheck,13,13,12100,73,5.33,https://www.calculator.net/take-home-pay-calculator.html,84,0,447.00,0.03,2500000000,"[29,24,24,29,36,29,24,29,44,20,24,20]",2026-04-20,"Sitelinks, Video, Related searches","commercial, informational",Organic
hrs calculate,13,13,12100,74,2.72,https://www.calculator.net/time-duration-calculator.html,84,0,228.00,0,381000000,"[0,1,3,0,3,100,0,2,54,10,3,0]",2026-04-19,"Video, Related searches",informational,Organic
day of the year,12,12,12100,43,0.00,https://www.calculator.net/date-calculator.html,84,0,0.00,0,8850000000,"[10,66,66,66,66,66,66,66,66,66,81,66]",2026-04-15,"Image pack, Video, Related searches",informational,Organic
how many hours in a month,18,18,27100,19,0.00,https://www.calculator.net/hours-calculator.html,81,0,0.00,0,1430000000,"[67,67,81,81,81,67,81,100,100,81,67,67]",2026-04-17,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
today day what,15,15,27100,80,0.74,https://www.calculator.net/day-of-the-week-calculator.html,81,0,59.00,0,180000,"[0,16,100,66,66,0,0,1,29,13,29,44]",2026-04-18,"Video, People also ask, Related searches",informational,Organic
proteîne,14,14,27100,57,0.70,https://www.calculator.net/protein-calculator.html,81,0,56.00,0.56,186,"[0,20,100,81,54,100,0,0,66,0,0,0]",2026-04-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
gpa scale,17,7,27100,39,3.81,https://www.calculator.net/gpa-calculator.html,81,0,308.00,0,62700000,"[44,36,66,54,66,24,20,20,36,66,36,54]",2026-04-21,"Image pack, Video, Related searches, AI overview",informational,Organic
apr calculator,17,17,27100,54,1.33,https://www.calculator.net/payment-calculator.html,81,0,107.00,0.06,235000000,"[66,66,81,66,66,54,54,54,54,54,44,44]",2026-04-16,"Image pack, Video, Related searches",informational,Organic
how many calories must i eat a day,18,18,27100,71,0.38,https://www.calculator.net/calorie-calculator.html,81,0,30.00,0.38,285000000,"[0,1,100,55,55,67,0,1,24,11,0,0]",2026-04-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
circumference formula,11,11,49500,62,0.00,https://www.calculator.net/circle-calculator.html,74,0,0.00,0,3040,"[44,44,54,67,54,24,16,24,36,36,30,24]",2026-04-16,"Instant answer, Knowledge panel, Image pack, Video, Image, Video Carousel, Related searches, Short videos, Things to know, AI overview",informational,Organic
iv roman numerals,11,11,49500,39,0.18,https://www.calculator.net/roman-numeral-converter.html,74,0,13.00,0.01,124,"[54,81,54,66,66,44,44,54,66,54,100,66]",2026-04-17,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
dollar en pesos,14,14,14800,64,0.96,https://www.calculator.net/currency-calculator.html,74,0,71.00,0.01,103000000,"[20,36,29,29,29,36,100,29,20,29,44,44]",2026-04-16,"Instant answer, Video, Related searches",informational,Organic
roll 1d20,15,15,14800,58,0.00,https://www.calculator.net/dice-roller.html,74,0,0.00,0,914000,"[66,81,81,81,81,66,81,81,81,66,66,66]",2026-04-19,"Sitelinks, Video, Related searches",informational,Organic
calculator math,19,19,49500,100,0.47,https://www.calculator.net/,74,0,34.00,0,395000000,"[66,54,66,54,54,20,20,36,66,66,54,44]",2026-04-19,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
calculator math,20,20,49500,100,0.47,https://www.calculator.net/,74,0,34.00,0,395000000,"[66,54,66,54,54,20,20,36,66,66,54,44]",2026-04-19,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
net income calculator,11,11,14800,66,2.88,https://www.calculator.net/take-home-pay-calculator.html,74,0,213.00,0.04,476000000,"[100,81,66,54,66,66,66,66,81,66,66,54]",2026-04-16,"Video, People also ask, Related searches","commercial, informational",Organic
binary,12,12,49500,62,1.07,https://www.calculator.net/binary-calculator.html,74,0,79.00,0,142000000,"[30,30,36,30,36,24,20,24,30,24,24,24]",2026-04-17,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
binary,18,18,49500,62,1.07,https://www.calculator.net/binary-calculator.html,74,0,79.00,0,142000000,"[30,30,36,30,36,24,20,24,30,24,24,24]",2026-04-17,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
calendar calculator,20,20,49500,61,1.25,https://www.calculator.net/day-counter.html,74,0,92.00,0,97,"[100,66,66,54,54,54,54,54,54,44,54,36]",2026-04-16,"Sitelinks, Video, Related searches",informational,Organic
z table,16,16,49500,39,0.00,https://www.calculator.net/z-score-calculator.html,74,0,0.00,0,3490000000,"[13,36,54,54,24,10,10,7,36,36,36,24]",2026-04-16,"Image pack, Video, Image, Video Carousel, Related searches, Things to know",informational,Organic
6 weeks from today,16,16,49500,13,0.00,https://www.calculator.net/date-calculator.html,74,0,0.00,0,1850000000,"[44,66,66,100,54,54,54,54,66,100,66,81]",2026-04-18,"Video, People also ask, Related searches",informational,Organic
randomizer,15,15,49500,67,0.61,https://www.calculator.net/random-number-generator.html,74,0,45.00,0,6320000,"[81,81,66,81,81,54,66,81,81,100,81,81]",2026-04-15,"Image pack, Video, Related searches, Things to know","commercial, informational",Organic
mean median mode,16,16,49500,38,0.05,https://www.calculator.net/mean-median-mode-range-calculator.html,74,0,3.00,0.01,127000000,"[36,55,67,82,82,30,30,30,67,36,30,36]",2026-04-16,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
how to multiply fractions,20,20,49500,40,0.57,https://www.calculator.net/fraction-calculator.html,74,0,42.00,0.01,40600000,"[54,54,44,44,36,20,16,36,67,36,30,30]",2026-04-17,"Image pack, Video, Related searches, Short videos, AI overview",informational,Organic
